is_odd_date,policy_range_time,Run,Finished,Idle,MeanTravelTime,Move,SimulationMinutes,StdTravelTime,ToOffice,ToResidence,number_of_cars,width,height,is_odd_even_policy_enabled
7_10_and_16_19,True,0,27,0,480.06666666666666,3,1440,390.41874385786804,0,0,30,100,100,False
7_10_and_16_19,True,1,27,0,483.46666666666664,3,1440,402.56641136035626,0,0,30,100,100,False
7_10_and_16_19,True,2,26,0,496.4,4,1440,392.41114493177514,0,0,30,100,100,False
7_10_and_16_19,True,3,27,0,483.8666666666667,3,1440,400.13395534773383,0,0,30,100,100,False
7_10_and_16_19,True,4,27,0,496.2,3,1440,396.36594202832316,0,0,30,100,100,False
7_10_and_16_19,True,5,28,0,480.23333333333335,2,1440,388.2562455675661,0,0,30,100,100,False
7_10_and_16_19,True,6,27,0,467.3333333333333,3,1440,399.517820489761,0,0,30,100,100,False
7_10_and_16_19,True,7,27,0,471.46666666666664,3,1440,404.58140782240054,0,0,30,100,100,False
7_10_and_16_19,True,8,27,0,474.0,3,1440,399.13706918801716,0,0,30,100,100,False
7_10_and_16_19,True,9,28,0,470.73333333333335,2,1440,398.3300083543237,0,0,30,100,100,False
